Close,High,Low,Open,Volume,Daily Return,Daily log return
2018-10-03,9361.099609375,9424.7001953125,9300.7998046875,9360.599609375,156817500,0.005974919066680906,0.005957140021508702
2018-10-04,9314.5,9378.7001953125,9304.7001953125,9349.0,170694500,-0.00497800593087705,-0.004990437475763811
2018-10-05,9253.900390625,9318.099609375,9239.900390625,9318.099609375,133292600,-0.006505943354447319,-0.006527199247160001
2018-10-08,9199.2001953125,9243.0,9167.400390625,9227.099609375,140669500,-0.005911042155577584,-0.005928581516682675
2018-10-09,9260.5,9283.2998046875,9136.2001953125,9231.7001953125,171340200,0.0066636015507886,0.006641497896935697
2018-10-10,9162.900390625,9273.0,9158.7998046875,9243.2001953125,177151900,-0.010539345540197642,-0.01059527778233398
2018-10-11,9007.900390625,9121.0,8970.7998046875,9018.400390625,238991600,-0.0169160411433249,-0.017060751641297084
2018-10-12,8902.0,9098.099609375,8897.5,9094.7001953125,168952300,-0.01175639006124185,-0.011826042863425769
2018-10-15,8923.7001953125,8936.5,8849.400390625,8883.099609375,169650800,0.002437676399966282,0.002434710086481072
2018-10-16,9074.7001953125,9096.7998046875,8934.0,8967.7998046875,200179100,0.01692123185394756,0.016779662595858155
2018-10-17,8997.2001953125,9140.2998046875,8967.099609375,9113.400390625,185707600,-0.008540227041333281,-0.008576903747852853
2018-10-18,8889.599609375,9063.7998046875,8887.900390625,8970.7001953125,313573200,-0.011959341084080699,-0.012031429332114202
2018-10-19,8892.099609375,8960.2001953125,8768.599609375,8874.7001953125,349736000,0.00028122751415748937,0.00028118797711255934
2018-10-22,8806.5,9013.099609375,8796.2998046875,8997.7001953125,197331300,-0.009626478912219127,-0.009673112982934124
2018-10-23,8726.099609375,8781.900390625,8681.7001953125,8715.400390625,249657200,-0.00912966452336339,-0.009171595315007603
2018-10-24,8677.400390625,8805.5,8677.400390625,8767.0,201042600,-0.005580868994169985,-0.005596500227908297
2018-10-25,8785.2001953125,8797.900390625,8637.5,8639.5,253389100,0.012423052969178006,0.012346520043155191
2018-10-26,8730.400390625,8746.099609375,8627.599609375,8746.099609375,234582300,-0.006237741140690201,-0.006257277130628827
2018-10-29,8821.2001953125,8882.7001953125,8752.900390625,8775.7001953125,184715100,0.010400417005502316,0.010346704767343297
2018-10-30,8806.099609375,8874.0,8776.2001953125,8849.5,194834000,-0.0017118516305212328,-0.0017133185228307177
2018-10-31,8893.5,8962.599609375,8883.7998046875,8911.5,299960800,0.009924983193689174,0.009876054029058797
2018-11-01,8954.7998046875,8985.2998046875,8875.7998046875,8882.5,169058700,0.006892652463878157,0.006869006727265963
2018-11-02,8993.0,9073.5,8976.5,9058.7001953125,173424100,0.004265890488417634,0.0042568173717175166
2018-11-05,9010.7001953125,9065.2998046875,9002.2001953125,9005.400390625,142754200,0.0019682192052150604,0.0019662847996021453
2018-11-06,8988.900390625,9013.099609375,8911.2998046875,9002.2998046875,146180800,-0.002419324160717329,-0.002422255454201822
2018-11-07,9167.900390625,9174.2001953125,9117.7001953125,9165.2001953125,249729100,0.01991344794372063,0.019717768738657524
2018-11-08,9177.0,9232.2998046875,9147.7998046875,9182.7001953125,147221000,0.0009925510735593335,0.0009920588204398357
2018-11-09,9134.7998046875,9156.7998046875,9079.7001953125,9117.7001953125,203274000,-0.0045984739361991656,-0.00460907944272341
2018-11-12,9076.2998046875,9180.599609375,9068.2998046875,9174.7998046875,141480000,-0.0064040812333928665,-0.006424675332889286
2018-11-13,9145.400390625,9163.2998046875,9074.5,9097.2001953125,153897400,0.007613299188487854,0.007584464286236148
